COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-26 14:29:29--------->FAIL

2019-08-26 14:29:34--------->FAIL

2019-08-26 14:29:53--------->FAIL

2019-08-26 14:30:02--------->FAIL

2019-08-26 14:32:31--------->PASS

2019-08-26 14:32:36--------->PASS

2019-08-26 14:32:38--------->FAIL

2019-08-26 14:32:45--------->FAIL

2019-08-26 14:34:09--------->FAIL

2019-08-26 14:37:57--------->FAIL

2019-08-26 14:38:00--------->FAIL

2019-08-26 14:38:27--------->FAIL

2019-08-26 14:38:29--------->FAIL

2019-08-26 14:39:29--------->FAIL

2019-08-26 14:39:38--------->PASS
