COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-20 14:01:05--------->PASS

2019-08-20 14:01:09--------->PASS

2019-08-20 14:01:10--------->PASS

2019-08-20 14:01:12--------->PASS

2019-08-20 14:01:13--------->PASS

2019-08-20 14:01:15--------->PASS

2019-08-20 14:01:16--------->PASS

2019-08-20 14:01:17--------->PASS

2019-08-20 14:01:18--------->PASS

2019-08-20 14:01:27--------->FAIL

2019-08-20 14:01:29--------->FAIL

2019-08-20 14:01:32--------->FAIL

2019-08-20 14:01:34--------->FAIL

2019-08-20 14:01:36--------->FAIL

2019-08-20 14:01:38--------->FAIL

2019-08-20 14:01:39--------->FAIL

2019-08-20 14:01:40--------->FAIL

2019-08-20 14:01:42--------->FAIL

2019-08-20 14:01:43--------->FAIL

2019-08-20 14:01:44--------->FAIL

2019-08-20 14:01:45--------->FAIL

2019-08-20 14:01:46--------->FAIL

2019-08-20 14:01:48--------->FAIL

2019-08-20 14:01:49--------->FAIL

2019-08-20 14:01:50--------->FAIL

2019-08-20 14:01:51--------->FAIL

2019-08-20 14:01:57--------->PASS

2019-08-20 14:01:58--------->PASS

2019-08-20 14:02:00--------->PASS

2019-08-20 14:02:01--------->PASS

2019-08-20 14:02:02--------->PASS

2019-08-20 14:02:04--------->PASS

2019-08-20 14:02:05--------->PASS

2019-08-20 14:02:06--------->PASS

2019-08-20 14:02:07--------->PASS

2019-08-20 14:02:08--------->PASS

2019-08-20 14:02:10--------->PASS

2019-08-20 15:36:33--------->PASS

2019-08-20 15:44:03--------->PASS

2019-08-20 15:44:13--------->PASS

2019-08-20 16:54:07--------->PASS

2019-08-20 16:54:36--------->PASS

2019-08-20 16:58:40--------->PASS

2019-08-20 16:59:54--------->PASS

2019-08-20 17:00:26--------->PASS

2019-08-20 17:00:34--------->PASS

2019-08-20 17:00:42--------->FAIL

2019-08-20 17:00:51--------->FAIL
