COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-23 08:49:43--------->FAIL

2019-08-23 08:50:40--------->FAIL

2019-08-23 08:51:11--------->FAIL

2019-08-23 08:51:23--------->FAIL

2019-08-23 08:51:35--------->FAIL

2019-08-23 08:53:46--------->FAIL

2019-08-23 08:55:38--------->FAIL

2019-08-23 08:58:23--------->FAIL

2019-08-23 08:58:36--------->FAIL

2019-08-23 08:58:45--------->FAIL

2019-08-23 08:58:52--------->FAIL

2019-08-23 09:06:35--------->FAIL

2019-08-23 09:06:44--------->FAIL

2019-08-23 09:14:12--------->FAIL

2019-08-23 09:14:59--------->FAIL

2019-08-23 09:16:58--------->FAIL

2019-08-23 09:17:54--------->FAIL

2019-08-23 09:18:22--------->FAIL

2019-08-23 09:18:25--------->FAIL

2019-08-23 09:18:34--------->FAIL

2019-08-23 09:18:46--------->FAIL

2019-08-23 09:19:15--------->FAIL

2019-08-23 09:20:37--------->FAIL

2019-08-23 09:24:28--------->FAIL

2019-08-23 09:24:34--------->FAIL

2019-08-23 09:24:37--------->FAIL

2019-08-23 09:26:32--------->FAIL

2019-08-23 09:26:53--------->FAIL

2019-08-23 09:27:00--------->FAIL

2019-08-23 09:27:28--------->FAIL

2019-08-23 09:27:52--------->FAIL

2019-08-23 09:28:00--------->FAIL

2019-08-23 09:28:17--------->FAIL

2019-08-23 09:28:24--------->FAIL

2019-08-23 11:18:56--------->FAIL

2019-08-23 11:19:27--------->FAIL

2019-08-23 11:19:40--------->FAIL

2019-08-23 11:19:48--------->FAIL

2019-08-23 11:20:55--------->FAIL

2019-08-23 11:21:08--------->FAIL

2019-08-23 11:21:25--------->FAIL

2019-08-23 11:24:32--------->FAIL

2019-08-23 11:24:37--------->FAIL

2019-08-23 11:24:40--------->FAIL

2019-08-23 17:50:40--------->FAIL

2019-08-23 17:50:59--------->FAIL

2019-08-23 17:51:03--------->FAIL

2019-08-23 17:51:15--------->FAIL

2019-08-23 17:52:07--------->FAIL

2019-08-23 17:52:15--------->FAIL

2019-08-23 17:52:17--------->FAIL

2019-08-23 17:52:17--------->FAIL

2019-08-23 17:52:18--------->FAIL

2019-08-23 17:52:18--------->FAIL

2019-08-23 17:52:19--------->FAIL

2019-08-23 17:52:20--------->FAIL

2019-08-23 17:52:21--------->FAIL

2019-08-23 17:52:22--------->FAIL

2019-08-23 17:52:23--------->FAIL

2019-08-23 17:52:24--------->FAIL

2019-08-23 17:52:48--------->FAIL

2019-08-23 17:52:48--------->FAIL

2019-08-23 17:52:51--------->FAIL

2019-08-23 17:53:07--------->FAIL

2019-08-23 17:53:23--------->FAIL

2019-08-23 17:54:37--------->FAIL

2019-08-23 17:54:43--------->FAIL

2019-08-23 17:57:42--------->FAIL

2019-08-23 17:57:46--------->FAIL

2019-08-23 17:58:30--------->FAIL

2019-08-23 17:58:59--------->FAIL

2019-08-23 17:59:26--------->FAIL

2019-08-23 17:59:59--------->FAIL

2019-08-23 17:59:59--------->FAIL

2019-08-23 18:00:00--------->FAIL

2019-08-23 18:00:00--------->FAIL

2019-08-23 18:00:00--------->FAIL

2019-08-23 18:00:01--------->FAIL

2019-08-23 18:00:01--------->FAIL

2019-08-23 18:00:01--------->FAIL

2019-08-23 18:00:02--------->FAIL

2019-08-23 18:00:03--------->FAIL

2019-08-23 18:00:04--------->FAIL

2019-08-23 18:00:05--------->FAIL

2019-08-23 18:00:05--------->FAIL

2019-08-23 18:00:05--------->FAIL

2019-08-23 18:00:06--------->FAIL

2019-08-23 18:00:06--------->FAIL

2019-08-23 18:00:06--------->FAIL

2019-08-23 18:00:17--------->FAIL

2019-08-23 18:00:53--------->FAIL

2019-08-23 18:01:14--------->FAIL

2019-08-23 18:01:35--------->FAIL

2019-08-23 18:02:39--------->FAIL

2019-08-23 18:02:39--------->FAIL

2019-08-23 18:02:40--------->FAIL

2019-08-23 18:02:41--------->FAIL

2019-08-23 18:02:41--------->FAIL

2019-08-23 18:02:42--------->FAIL

2019-08-23 18:02:43--------->FAIL

2019-08-23 18:02:43--------->FAIL

2019-08-23 18:02:44--------->FAIL

2019-08-23 18:02:44--------->FAIL

2019-08-23 18:02:45--------->FAIL

2019-08-23 18:02:46--------->FAIL

2019-08-23 18:02:46--------->FAIL

2019-08-23 18:02:47--------->FAIL

2019-08-23 18:02:47--------->FAIL

2019-08-23 18:02:48--------->FAIL

2019-08-23 18:02:49--------->FAIL

2019-08-23 18:02:49--------->FAIL

2019-08-23 18:02:50--------->FAIL

2019-08-23 18:02:50--------->FAIL

2019-08-23 18:02:51--------->FAIL

2019-08-23 18:02:52--------->FAIL

2019-08-23 18:02:52--------->FAIL

2019-08-23 18:02:53--------->FAIL

2019-08-23 18:02:54--------->FAIL

2019-08-23 18:02:54--------->FAIL

2019-08-23 18:02:55--------->FAIL

2019-08-23 18:02:55--------->FAIL

2019-08-23 18:02:56--------->FAIL

2019-08-23 18:02:57--------->FAIL

2019-08-23 18:02:57--------->FAIL

2019-08-23 18:02:58--------->FAIL
