COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-15 09:16:38--------->PASS

2019-08-15 09:16:59--------->PASS

2019-08-15 09:23:30--------->PASS

2019-08-15 14:45:23--------->PASS

2019-08-15 14:46:03--------->PASS

2019-08-15 14:47:43--------->PASS

2019-08-15 14:49:06--------->PASS

2019-08-15 14:49:52--------->PASS

2019-08-15 14:49:59--------->PASS

2019-08-15 14:50:04--------->PASS

2019-08-15 14:50:05--------->PASS

2019-08-15 14:50:06--------->PASS

2019-08-15 14:50:06--------->PASS

2019-08-15 14:50:06--------->PASS

2019-08-15 14:51:58--------->PASS

2019-08-15 14:53:22--------->PASS

2019-08-15 14:54:07--------->PASS

2019-08-15 14:54:25--------->PASS

2019-08-15 14:54:36--------->PASS

2019-08-15 14:54:39--------->PASS

2019-08-15 14:55:01--------->PASS

2019-08-15 14:58:55--------->PASS

2019-08-15 14:59:14--------->PASS

2019-08-15 14:59:40--------->PASS

2019-08-15 14:59:52--------->PASS

2019-08-15 15:00:03--------->PASS

2019-08-15 15:01:19--------->PASS

2019-08-15 15:02:15--------->PASS

2019-08-15 15:02:42--------->PASS

2019-08-15 15:03:29--------->FAIL

2019-08-15 15:03:34--------->FAIL

2019-08-15 15:07:20--------->FAIL

2019-08-15 15:09:06--------->FAIL

2019-08-15 15:09:47--------->FAIL

2019-08-15 15:11:56--------->FAIL

2019-08-15 15:13:51--------->PASS

2019-08-15 15:18:30--------->FAIL

2019-08-15 15:19:13--------->FAIL

2019-08-15 15:19:39--------->FAIL

2019-08-15 15:19:55--------->FAIL

2019-08-15 15:20:30--------->FAIL

2019-08-15 15:26:13--------->FAIL

2019-08-15 15:28:25--------->FAIL

2019-08-15 15:28:41--------->FAIL

2019-08-15 15:28:59--------->FAIL

2019-08-15 15:29:39--------->PASS

2019-08-15 15:30:23--------->PASS

2019-08-15 15:30:36--------->PASS

2019-08-15 15:30:42--------->FAIL

2019-08-15 15:50:39--------->FAIL

2019-08-15 15:51:29--------->FAIL

2019-08-15 15:51:41--------->FAIL

2019-08-15 15:52:22--------->FAIL

2019-08-15 15:53:52--------->FAIL

2019-08-15 15:54:33--------->FAIL

2019-08-15 15:55:55--------->PASS

2019-08-15 15:55:58--------->PASS

2019-08-15 15:56:27--------->FAIL

2019-08-15 16:02:22--------->FAIL

2019-08-15 16:06:17--------->PASS

2019-08-15 16:06:44--------->PASS

2019-08-15 16:06:55--------->PASS

2019-08-15 16:07:47--------->PASS

2019-08-15 16:07:58--------->PASS
